Specie;VEN;SUB;TL;TaL;SVL;HL;HW;IO;ED;C;TaL_TL;SVL_TL;HL_TL;HW_C;HW_HL;IO_HW;ED_TL;C_TL;Mode;Habit
Boiruna_maculata;213.7;60.875;1202.375;213.125;1005.4;34.01;19.97;10.65;9.01;85.02;0.177253353;0.836178397;0.028285685;0.234885909;0.587180241;0.53329995;0.007493502;0.070710053;Oviparous;Terrestrial
Bothrops_alternatus;174.2272727;46.6;930.5238095;116.1428571;783.0833333;41.54;27.70411765;12.83583333;12.46833333;105.6470588;0.124814493;0.841551098;0.044641523;0.262232739;0.666926279;0.463318612;0.013399263;0.113535041;Viviparous;Terrestrial
Bothrops_diporus;178.4166667;45.41666667;728;102.0769231;625.9230769;32.42909091;22.18166667;12.235;9.84;70.46;0.140215554;0.859784446;0.044545455;0.314812187;0.684005195;0.551581636;0.013516484;0.096785714;Viviparous;Terrestrial
Chironius_maculoventris;151.5555556;90.33333333;948.3636364;296.1818182;652.1818182;28.54181818;14.64818182;9.327272727;8.336363636;49.3;0.312308282;0.687691718;0.030095859;0.297123363;0.513218244;0.636752932;0.008790261;0.051984279;Oviparous;Arboreal
Clelia_clelia;209;77;1201;166;655;20.35;12;7;5.6;44.65;0.138218152;0.545378851;0.016944213;0.268756999;0.58968059;0.583333333;0.004662781;0.037177352;Oviparous;Terrestrial
Crotalus_durissus;171.8333333;27.8;1259.25;123.25;919.5555556;43.3;36.18833333;16.83333333;12.025;129.6;0.09787572;0.730240664;0.034385547;0.279230967;0.835758276;0.465159121;0.009549335;0.102918404;Viviparous;Terrestrial
Erythrolamprus_almadensis;155.4545455;59.72727273;428.25;86.09090909;312.6363636;16.52;7.935;4.45;4.375;29.5125;0.20102956;0.730032373;0.038575598;0.268869123;0.480326877;0.560806553;0.010215995;0.068914186;Oviparous;Terrestrial
Erythrolamprus_jaegeri;158.5;62.65;402.2;93.02;311.7962963;13.9375;7.7375;5.37;3.7625;21.75;0.231277971;0.775226992;0.034653158;0.355747126;0.555156951;0.694022617;0.009354799;0.054077573;Oviparous;Aquatic
Erythrolamprus_poecilogyrus;148.8181818;42.33333333;328.3;54.3;273.0909091;15.98818182;8.97;4.854545455;4.726363636;38.58833333;0.165397502;0.831833412;0.048699914;0.232453678;0.561039404;0.541197933;0.014396478;0.117539852;Oviparous;Aquatic
Erythrolamprus_sagittifer;190.3;88.25;560.8;140.1;431.9;19.3939;11.37667;6.02333;5.5633333;37;0.249821683;0.770149786;0.034582561;0.307477568;0.586610738;0.529445787;0.009920352;0.065977175;Oviparous;Terrestrial
