;Test;Obs;Std.Obs;Pvalue; 
57;Flooded_Forest / Habit.Fossorial;0.034202073;-2.76554069;0.0032; 
29;Grassland / IO_HW;-0.064760275;-2.55640318;0.0104; 
7;Flooded_Forest / TaL_TL;0.067872648;2.38377916;0.0154; 
11;Anthropogenic_Areas / HL_TL;0.049432889;2.26547733;0.025; 
32;Flooded_Forest / C_TL;-0.046518045;-2.21493767;0.0261; 
15;Flooded_grassland / HL_TL;-0.047111643;-2.1622769;0.0303; 
38;Forest / Mode.Oviparous;0.74236184;-1.8929466;0.0318; 
30;Flooded_grassland / IO_HW;0.04619722;2.12216784;0.0336; 
12;Flooded_Forest / HL_TL;-0.060183338;-2.10324365;0.0341; 
35;Flooded_grassland / C_TL;-0.043303132;-2.04813911;0.0395; 
6;Anthropogenic_Areas / TaL_TL;-0.084992075;-2.0313244;0.0402; 
55;Flooded_grassland / Habit.Arboreal;0.095928558;-1.76261237;0.0407; 
8;Forest / TaL_TL;-0.094170379;-1.93099288;0.0522; 
10;Flooded_grassland / TaL_TL;0.078943578;1.80528902;0.0701; 
1;Anthropogenic_Areas / VEN;0.074275127;1.7870129;0.0731; 
64;Grassland / Habit.Terrestrial;0.525779682;-1.39695143;0.078; 
46;Anthropogenic_Areas / Habit.Aquatic;0.102842044;-1.35486564;0.0834; 
51;Anthropogenic_Areas / Habit.Arboreal;0.071726799;-1.27887293;0.1001; 
33;Forest / C_TL;0.077371279;1.60000788;0.1103; 
3;Forest / VEN;0.034381452;1.56665283;0.1189; 
39;Grassland / Mode.Oviparous;0.745594176;-1.03025232;0.1507; 
65;Flooded_grassland / Habit.Terrestrial;0.537081339;-0.95395017;0.1701; 
48;Forest / Habit.Aquatic;0.245116627;-0.87608165;0.1836; 
16;Anthropogenic_Areas / HW_C;0.028757128;1.28707483;0.2034; 
5;Flooded_grassland / VEN;-0.051828661;-1.2024283;0.239; 
13;Forest / HL_TL;0.056869179;1.1660046;0.243; 
4;Grassland / VEN;-0.025478892;-1.16611486;0.2475; 
2;Flooded_Forest / VEN;-0.025188412;-1.14869992;0.252; 
63;Forest / Habit.Terrestrial;0.543508736;-0.6530606;0.2633; 
23;Forest / HW_HL;0.023881707;1.10978428;0.2682; 
26;Anthropogenic_Areas / IO_HW;-0.023454206;-1.09173563;0.272; 
27;Flooded_Forest / IO_HW;0.022336681;1.04570939;0.2958; 
37;Flooded_Forest / Mode.Oviparous;0.750563205;-0.42268221;0.3244; 
36;Anthropogenic_Areas / Mode.Oviparous;0.750050472;-0.41674731;0.3326; 
28;Forest / IO_HW;-0.019402392;-0.89476623;0.3766; 
47;Flooded_Forest / Habit.Aquatic;0.247997826;-0.26028744;0.384; 
31;Anthropogenic_Areas / C_TL;0.015853234;0.73725167;0.4603; 
45;Flooded_grassland / Mode.Viviparous;0.239404371;-0.0930511;0.4655; 
24;Grassland / HW_HL;0.014354838;0.65637761;0.5156; 
54;Grassland / Habit.Arboreal;0.114307489;0.0707715;0.5228; 
40;Flooded_grassland / Mode.Oviparous;0.76036406;0.10347992;0.5336; 
19;Grassland / HW_C;0.014212185;0.6229369;0.5422; 
22;Flooded_Forest / HW_HL;-0.013220845;-0.60957439;0.5472; 
60;Flooded_grassland / Habit.Fossorial;0.07681704;0.15168622;0.5482; 
53;Forest / Habit.Arboreal;0.115064773;0.17969896;0.563; 
14;Grassland / HL_TL;0.011492391;0.51564708;0.6022; 
59;Grassland / Habit.Fossorial;0.078717847;0.32052193;0.622; 
52;Flooded_Forest / Habit.Arboreal;0.119545095;0.35382936;0.6288; 
20;Flooded_grassland / HW_C;-0.01044301;-0.46468146;0.648; 
25;Flooded_grassland / HW_HL;-0.009916362;-0.44419376;0.6593; 
41;Anthropogenic_Areas / Mode.Viviparous;0.249808245;0.42720462;0.6673; 
42;Flooded_Forest / Mode.Viviparous;0.249422699;0.44060391;0.6778; 
34;Grassland / C_TL;0.007320874;0.33235;0.7418; 
21;Anthropogenic_Areas / HW_HL;0.006746895;0.31224419;0.7564; 
44;Grassland / Mode.Viviparous;0.253157352;0.96187396;0.8327; 
50;Flooded_grassland / Habit.Aquatic;0.272345303;1.03932845;0.8542; 
9;Grassland / TaL_TL;0.004231549;0.172733;0.8625; 
49;Grassland / Habit.Aquatic;0.279242921;1.25692542;0.8985; 
62;Flooded_Forest / Habit.Terrestrial;0.592400107;1.28731743;0.8999; 
18;Forest / HW_C;-0.002543647;-0.10118625;0.9206; 
58;Forest / Habit.Fossorial;0.085923295;1.44960103;0.9305; 
43;Forest / Mode.Viviparous;0.256176909;1.7685544;0.9621; 
17;Flooded_Forest / HW_C;0.000619178;0.02998023;0.9746; 
56;Anthropogenic_Areas / Habit.Fossorial;0.109771099;2.12212634;0.9815; 
61;Anthropogenic_Areas / Habit.Terrestrial;0.697618691;4.39472314;0.9999; 
